,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Weekly,next_refresh_date_Daily,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Weekly,execution_date_Daily,execution_date_Weekly,customer_name_Daily,customer_name_Weekly,base_gallons_Monthly,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Monthly,en_allocation_status_Monthly,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Monthly,next_refresh_date_Monthly,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Monthly,additional_gallons_allowed_Monthly,additional_gallons_remaining_Monthly,execution_date_Monthly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-12-01,2015-12-01 00:00:00,BP,Channel: 50 - Commercial,JACKSONVILLE FL - MARATHON (PLANT 9294),PREMIUM,-1,11952,1,0,3,0,-1,0,1,w1,-1,0,0,-1,13147,-1,Available,-1,100,110%,110,-1,-1,-1,w2,0,2015-12-02 00:00:00,-1,Contract,-1,-1,11083,-1,13147,-1,0,-1,0,-1,9237904,2015-12-01 00:00:00,2015-12-01 22:00:10,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,11952,-1,0,13147,True,True,0,True,0,0,-1,0,13147,-1,-1,-1,-1,-1,0,11952.0,1707.0,52917.0,-1,1,1
2015-12-02,2015-12-02 00:00:00,BP,Channel: 50 - Commercial,JACKSONVILLE FL - MARATHON (PLANT 9294),PREMIUM,-1,11083,3,0,0,-1,-1,0,0,w1,-1,0,0,-1,12191,-1,Available,-1,100,110%,110,-1,-1,-1,w3,0,2015-12-09 00:00:00,-1,Contract,-1,-1,11083,-1,12191,-1,0,-1,0,-1,9291238,2015-12-02 00:00:00,2015-12-02 22:00:10,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,11083,-1,0,12191,False,True,0,0,0,0,-1,0,12191,-1,-1,-1,-1,-1,0,11083.0,1583.0,49073.0,-1,0,1
2015-12-03,2015-12-03 00:00:00,BP,Channel: 50 - Commercial,JACKSONVILLE FL - MARATHON (PLANT 9294),PREMIUM,-1,11083,0,-1,0,-1,-1,0,0,w1,-1,0,0,-1,12191,-1,Available,-1,100,110%,110,-1,-1,-1,w3,0,2015-12-09 00:00:00,-1,Contract,-1,-1,11083,-1,12191,-1,0,-1,0,-1,9345020,2015-12-03 00:00:00,2015-12-03 22:00:08,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,11083,-1,0,12191,False,False,0,0,0,0,-1,0,12191,-1,-1,-1,-1,-1,0,11083.0,1583.0,49073.0,-1,0,0
2015-12-04,2015-12-04 00:00:00,BP,Channel: 50 - Commercial,JACKSONVILLE FL - MARATHON (PLANT 9294),PREMIUM,-1,11083,0,-1,0,-1,-1,0,0,w1,-1,0,0,-1,12191,-1,Available,-1,100,110%,110,-1,-1,-1,w3,0,2015-12-09 00:00:00,-1,Contract,-1,-1,11083,-1,12191,-1,0,-1,0,-1,9397649,2015-12-04 00:00:00,2015-12-04 22:00:10,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,11083,-1,0,12191,False,False,0,0,0,0,-1,0,12191,-1,-1,-1,-1,-1,0,11083.0,1583.0,49073.0,-1,0,0
2015-12-05,2015-12-05 00:00:00,BP,Channel: 50 - Commercial,JACKSONVILLE FL - MARATHON (PLANT 9294),PREMIUM,-1,11083,0,-1,0,-1,-1,0,0,w1,-1,0,0,-1,12191,-1,Available,-1,100,110%,110,-1,-1,-1,w3,0,2015-12-09 00:00:00,-1,Contract,-1,-1,11083,-1,12191,-1,0,-1,0,-1,9450221,2015-12-05 00:00:00,2015-12-05 22:00:11,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,11083,-1,0,12191,False,False,0,0,0,0,-1,0,12191,-1,-1,-1,-1,-1,0,11083.0,1583.0,49073.0,-1,0,0
2015-12-06,2015-12-06 00:00:00,BP,Channel: 50 - Commercial,JACKSONVILLE FL - MARATHON (PLANT 9294),PREMIUM,-1,11083,0,-1,0,-1,-1,0,0,w1,-1,0,0,-1,12191,-1,Available,-1,100,110%,110,-1,-1,-1,w3,0,2015-12-09 00:00:00,-1,Contract,-1,-1,11083,-1,12191,-1,0,-1,0,-1,9487020,2015-12-06 00:00:00,2015-12-06 22:00:12,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,11083,-1,0,12191,False,False,0,0,0,0,-1,0,12191,-1,-1,-1,-1,-1,0,11083.0,1583.0,49073.0,-1,0,0
2015-12-07,2015-12-07 00:00:00,BP,Channel: 50 - Commercial,JACKSONVILLE FL - MARATHON (PLANT 9294),PREMIUM,-1,11083,0,-1,0,-1,-1,0,0,w1,-1,0,0,-1,12191,-1,Available,-1,100,110%,110,-1,-1,-1,w3,0,2015-12-09 00:00:00,-1,Contract,-1,-1,11083,-1,12191,-1,0,-1,0,-1,9532104,2015-12-07 00:00:00,2015-12-07 22:00:12,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,11083,-1,0,12191,False,False,0,0,0,0,-1,0,12191,-1,-1,-1,-1,-1,0,11083.0,1583.0,49073.0,-1,0,0
2015-12-08,2015-12-08 00:00:00,BP,Channel: 50 - Commercial,JACKSONVILLE FL - MARATHON (PLANT 9294),PREMIUM,-1,11083,0,-1,0,-1,-1,0,0,w1,-1,0,0,-1,12191,-1,Available,-1,100,110%,110,-1,-1,-1,w3,0,2015-12-09 00:00:00,-1,Contract,-1,-1,11083,-1,12191,-1,0,-1,0,-1,9584112,2015-12-08 00:00:00,2015-12-08 22:00:08,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,11083,-1,0,12191,False,False,0,0,0,0,-1,0,12191,-1,-1,-1,-1,-1,0,11083.0,1583.0,49073.0,-1,0,0
2015-12-09,2015-12-09 00:00:00,BP,Channel: 50 - Commercial,JACKSONVILLE FL - MARATHON (PLANT 9294),PREMIUM,-1,11083,3,0,0,-1,-1,0,0,w1,-1,0,0,-1,12191,-1,Available,-1,100,110%,110,-1,-1,-1,w4,0,2015-12-16 00:00:00,-1,Contract,-1,-1,11083,-1,12191,-1,0,-1,0,-1,9634953,2015-12-09 00:00:00,2015-12-09 22:00:13,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,11083,-1,0,12191,False,True,0,0,0,0,-1,0,12191,-1,-1,-1,-1,-1,0,11083.0,1583.0,49073.0,-1,0,0
2015-12-10,2015-12-10 00:00:00,BP,Channel: 50 - Commercial,JACKSONVILLE FL - MARATHON (PLANT 9294),PREMIUM,-1,11083,0,-1,0,-1,-1,0,0,w1,-1,0,0,-1,12191,-1,Available,-1,100,110%,110,-1,-1,-1,w4,0,2015-12-16 00:00:00,-1,Contract,-1,-1,11083,-1,12191,-1,0,-1,0,-1,9675827,2015-12-10 00:00:00,2015-12-10 22:00:09,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,11083,-1,0,12191,False,False,0,0,0,0,-1,0,12191,-1,-1,-1,-1,-1,0,11083.0,1583.0,49073.0,-1,0,0
2015-12-11,2015-12-11 00:00:00,BP,Channel: 50 - Commercial,JACKSONVILLE FL - MARATHON (PLANT 9294),PREMIUM,-1,11083,0,-1,0,-1,-1,0,0,w1,-1,0,0,-1,12191,-1,Available,-1,100,110%,110,-1,-1,-1,w4,0,2015-12-16 00:00:00,-1,Contract,-1,-1,11083,-1,12191,-1,0,-1,0,-1,9738547,2015-12-11 00:00:00,2015-12-11 22:00:13,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,11083,-1,0,12191,False,False,0,0,0,0,-1,0,12191,-1,-1,-1,-1,-1,0,11083.0,1583.0,49073.0,-1,0,0
2015-12-12,2015-12-12 00:00:00,BP,Channel: 50 - Commercial,JACKSONVILLE FL - MARATHON (PLANT 9294),PREMIUM,-1,11083,0,-1,0,-1,-1,0,0,w1,-1,0,0,-1,12191,-1,Available,-1,100,110%,110,-1,-1,-1,w4,0,2015-12-16 00:00:00,-1,Contract,-1,-1,11083,-1,12191,-1,0,-1,0,-1,9792264,2015-12-12 00:00:00,2015-12-12 22:00:13,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,11083,-1,0,12191,False,False,0,0,0,0,-1,0,12191,-1,-1,-1,-1,-1,0,11083.0,1583.0,49073.0,-1,0,0
2015-12-13,2015-12-13 00:00:00,BP,Channel: 50 - Commercial,JACKSONVILLE FL - MARATHON (PLANT 9294),PREMIUM,-1,11083,0,-1,0,-1,-1,0,0,w1,-1,0,0,-1,12191,-1,Available,-1,100,110%,110,-1,-1,-1,w4,0,2015-12-16 00:00:00,-1,Contract,-1,-1,11083,-1,12191,-1,0,-1,0,-1,9829414,2015-12-13 00:00:00,2015-12-13 22:00:12,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,11083,-1,0,12191,False,False,0,0,0,0,-1,0,12191,-1,-1,-1,-1,-1,0,11083.0,1583.0,49073.0,-1,0,0
2015-12-14,2015-12-14 00:00:00,BP,Channel: 50 - Commercial,JACKSONVILLE FL - MARATHON (PLANT 9294),PREMIUM,-1,11083,0,-1,0,-1,-1,0,0,w1,-1,0,0,-1,12191,-1,Available,-1,100,110%,110,-1,-1,-1,w4,0,2015-12-16 00:00:00,-1,Contract,-1,-1,11083,-1,12191,-1,0,-1,0,-1,9907817,2015-12-14 00:00:00,2015-12-14 22:00:10,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,11083,-1,0,12191,False,False,0,0,0,0,-1,0,12191,-1,-1,-1,-1,-1,0,11083.0,1583.0,49073.0,-1,0,0
