,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-11-01,2015-11-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BILLINGS MT (MOC) - 00JW,ULSD1,-1,1600,-1,1,0,0,-1,-1,0,0,0,-1,1,w1,-1,0,0,-1,15984,-1,-1,Available,-1,-1,-1,999%,999,-1,-1,-1,Below Trend,-1,-1,12/01 00:00:00 MST,w1,1,2015-11-05 00:00:00,-1,Contract,-1,252,-1,1600,1600,-1,-1,15984,-1,-1,0,-1,-1,0,-1,-1,7363655,-1,2015-11-01 00:00:00,2015-11-01 00:00:00,2015-11-01 00:00:00,-1,Mansfield,-1,-1,1600,-1,-1,15984,-1,True,True,0,0,0,0,-1,15984,-1,-1,-1,-1,-1.0,-1.0,-1,373.0,53.0,1600.0,-1,0,1
2015-11-02,2015-11-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BILLINGS MT (MOC) - 00JW,ULSD1,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,999,-1,-1,-1,-1,-1,-1,-1,w1,1,2015-11-05 00:00:00,-1,-1,-1,252,-1,1600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-11-02 00:00:00,2015-11-02 00:00:00,2015-11-02 00:00:00,-1,-1,-1,-1,1600,-1,-1,15984,-1,False,True,0,0,0,0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,373.0,53.0,1600.0,-1,0,1
2015-11-03,2015-11-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BILLINGS MT (MOC) - 00JW,ULSD1,-1,1600,-1,0,-1,0,-1,-1,0,0,0,-1,0,w1,-1,0,-1,-1,15984,-1,-1,Available,-1,-1,-1,999%,999,-1,-1,-1,Below Trend,-1,-1,12/01 00:00:00 MST,w1,1,2015-11-05 00:00:00,-1,Contract,-1,252,-1,1600,1600,-1,-1,15984,-1,-1,0,-1,-1,0,-1,-1,7474525,-1,2015-11-03 00:00:00,2015-11-03 00:00:00,2015-11-03 00:00:00,-1,Mansfield,-1,-1,1600,-1,-1,15984,-1,False,False,0,0,0,0,-1,15984,-1,-1,-1,-1,-1.0,-1.0,-1,373.0,53.0,1600.0,-1,0,0
2015-11-04,2015-11-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BILLINGS MT (MOC) - 00JW,ULSD1,-1,1600,-1,0,-1,0,-1,-1,1500,0,1500,-1,0,w1,-1,0,-1,-1,15984,-1,-1,Available,-1,-1,-1,999%,999,-1,-1,-1,Below Trend,-1,-1,12/01 00:00:00 MST,w1,1,2015-11-05 00:00:00,-1,Contract,-1,252,-1,1600,1600,-1,-1,14484,-1,-1,0,-1,-1,0,-1,-1,7698369,-1,2015-11-04 00:00:00,2015-11-04 00:00:00,2015-11-04 00:00:00,-1,Mansfield,-1,-1,1600,-1,-1,15984,-1,False,False,0,0,0,0,-1,14484,-1,-1,-1,-1,703.0,-1.0,-1,373.0,53.0,1600.0,-1,0,0
2015-11-05,2015-11-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BILLINGS MT (MOC) - 00JW,ULSD1,-1,-1,-1,6,2700,0,-1,-1,-1,0,-1,-1,6,w1,-1,0,2700,-1,-1,-1,-1,-1,-1,-1,-1,-1,999,-1,-1,-1,-1,-1,-1,-1,w2,1,2015-11-12 00:00:00,-1,-1,-1,53,-1,1600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-11-05 00:00:00,2015-11-05 00:00:00,2015-11-05 00:00:00,-1,-1,-1,-1,1600,-1,-1,15984,-1,False,True,2700,True,0,0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,373.0,53.0,1600.0,-1,0,0
2015-11-06,2015-11-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BILLINGS MT (MOC) - 00JW,ULSD1,53,-1,373,3,0,3,0,0,-1,0,-1,2700,0,w1,0,0,2700,53,-1,373,Out,-1,Out,100%,100,-1,999,100%,100,Below Trend,-1,Above Trend,11/07 00:00:00 MST,-1,w2,0,2015-11-12 00:00:00,Contract,-1,Contract,53,53,1600,-1,373,53,-1,-2327,0,-1,0,0,-1,0,7884698,-1,7884699,2015-11-06 22:07:09,2015-11-06 00:00:00,2015-11-06 22:07:09,Mansfield,-1,Mansfield,53,-1,373,53,-1,373,False,True,2700,True,0,0,53,-1,-2327,-1,-1,-1,-1.0,0.0,0,373.0,53.0,1590.0,-1,0,0
2015-11-07,2015-11-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BILLINGS MT (MOC) - 00JW,ULSD1,53,-1,373,3,0,3,0,0,-1,0,-1,2700,0,w1,0,0,2700,53,-1,373,Out,-1,Out,100%,100,-1,999,100%,100,Below Trend,-1,Above Trend,11/08 00:00:00 MST,-1,w2,0,2015-11-12 00:00:00,Contract,-1,Contract,53,53,1600,-1,373,53,-1,-2327,0,-1,0,0,-1,0,7928196,-1,7928197,2015-11-07 22:09:30,2015-11-07 00:00:00,2015-11-07 22:09:30,Mansfield,-1,Mansfield,53,-1,373,53,-1,373,False,True,2700,True,0,0,53,-1,-2327,-1,-1,-1,-1.0,0.0,0,373.0,53.0,1590.0,-1,0,0
2015-11-08,2015-11-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BILLINGS MT (MOC) - 00JW,ULSD1,53,-1,373,3,0,3,0,0,-1,0,-1,2700,0,w1,0,0,2700,53,-1,373,Out,-1,Out,100%,100,-1,999,100%,100,Below Trend,-1,Above Trend,11/09 00:00:00 MST,-1,w2,0,2015-11-12 00:00:00,Contract,-1,Contract,53,53,1600,-1,373,53,-1,-2327,0,-1,0,0,-1,0,7976102,-1,7976103,2015-11-08 22:05:08,2015-11-08 00:00:00,2015-11-08 22:05:08,Mansfield,-1,Mansfield,53,-1,373,53,-1,373,False,True,2700,True,0,0,53,-1,-2327,-1,-1,-1,-1.0,0.0,0,373.0,53.0,1590.0,-1,0,0
2015-11-09,2015-11-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BILLINGS MT (MOC) - 00JW,ULSD1,53,-1,373,3,0,3,0,0,-1,0,-1,2700,0,w1,0,0,2700,53,-1,373,Out,-1,Out,100%,100,-1,999,100%,100,Below Trend,-1,Above Trend,11/10 00:00:00 MST,-1,w2,0,2015-11-12 00:00:00,Contract,-1,Contract,53,53,1600,-1,373,53,-1,-2327,0,-1,0,0,-1,0,8026114,-1,8026115,2015-11-09 22:00:27,2015-11-09 00:00:00,2015-11-09 22:00:27,Mansfield,-1,Mansfield,53,-1,373,53,-1,373,False,True,2700,True,0,0,53,-1,-2327,-1,-1,-1,-1.0,0.0,0,373.0,53.0,1590.0,-1,0,0
2015-11-10,2015-11-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BILLINGS MT (MOC) - 00JW,ULSD1,53,-1,373,3,0,3,0,0,-1,0,-1,2700,0,w1,0,0,2700,53,-1,373,Out,-1,Out,100%,100,-1,999,100%,100,Below Trend,-1,Above Trend,11/11 00:00:00 MST,-1,w2,0,2015-11-12 00:00:00,Contract,-1,Contract,53,53,1600,-1,373,53,-1,-2327,0,-1,0,0,-1,0,8078747,-1,8078748,2015-11-10 23:25:03,2015-11-10 00:00:00,2015-11-10 23:25:03,Mansfield,-1,Mansfield,53,-1,373,53,-1,373,False,True,2700,True,0,0,53,-1,-2327,-1,-1,-1,-1.0,0.0,0,373.0,53.0,1590.0,-1,0,0
