,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-11-01,2015-11-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SAN ANTONIO TX (MOC) - 00K3,ULSD,2319,-1,16235,0,0,0,0,0,-1,0,-1,0,0,w1,0,0,0,3479,-1,22729,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,11/02 00:00:00 CST,-1,w1,0,2015-11-05 00:00:00,Contract,-1,Contract,2319,2319,-1,-1,16235,3479,-1,22729,0,-1,0,0,-1,0,7363733,-1,7363734,2015-11-01 22:05:41,2015-11-01 00:00:00,2015-11-01 22:05:41,Mansfield,-1,Mansfield,2319,-1,16235,3478,-1,22729,True,False,0,True,0,False,3479,-1,22729,-1,-1,-1,-1,0.0,0,16235,2319.0,69570.0,-1,0,0
2015-11-02,2015-11-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SAN ANTONIO TX (MOC) - 00K3,ULSD,-1,-1,-1,4,7500,0,-1,-1,-1,0,-1,-1,4,w2,-1,0,7500,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w1,1,2015-11-05 00:00:00,-1,-1,-1,2319,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-11-02 00:00:00,2015-11-02 00:00:00,2015-11-02 00:00:00,-1,-1,-1,2319,-1,16235,3479,-1,22729,True,False,7500,True,7500,False,-1,-1,-1,-1,-1,-1,-1,0.0,0,16235,2319.0,69570.0,-1,1,0
2015-11-03,2015-11-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SAN ANTONIO TX (MOC) - 00K3,ULSD,2319,-1,16235,3,0,3,0,0,-1,0,-1,7500,0,w2,0,0,7500,3479,-1,22729,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,11/04 00:00:00 CST,-1,w1,0,2015-11-05 00:00:00,Contract,-1,Contract,2319,2319,-1,-1,16235,3479,-1,15229,0,-1,0,0,-1,0,7474603,-1,7474604,2015-11-03 22:03:53,2015-11-03 00:00:00,2015-11-03 22:03:53,Mansfield,-1,Mansfield,2319,-1,16235,3479,-1,22729,False,False,7500,True,7500,False,3479,-1,15229,-1,-1,-1,-1,0.0,0,16235,2319.0,69570.0,-1,1,0
2015-11-04,2015-11-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SAN ANTONIO TX (MOC) - 00K3,ULSD,2319,-1,16235,0,0,0,0,0,-1,0,-1,7500,0,w2,0,0,7500,3479,-1,22729,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,11/05 00:00:00 CST,-1,w1,0,2015-11-05 00:00:00,Contract,-1,Contract,2319,2319,-1,-1,16235,3479,-1,15229,0,-1,0,0,-1,0,7698446,-1,7698447,2015-11-04 23:34:54,2015-11-04 00:00:00,2015-11-04 23:34:54,Mansfield,-1,Mansfield,2319,-1,16235,3479,-1,22729,False,False,7500,True,7500,False,3479,-1,15229,-1,-1,-1,-1,0.0,0,16235,2319.0,69570.0,-1,1,0
2015-11-05,2015-11-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SAN ANTONIO TX (MOC) - 00K3,ULSD,-1,-1,-1,6,7500,0,-1,-1,-1,0,-1,-1,6,w3,-1,0,7500,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w2,1,2015-11-12 00:00:00,-1,-1,-1,2319,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-11-05 00:00:00,2015-11-05 00:00:00,2015-11-05 00:00:00,-1,-1,-1,2319,-1,16235,3479,-1,22729,True,True,7500,True,15000,False,-1,-1,-1,-1,-1,-1,-1,0.0,0,16235,2319.0,69570.0,-1,0,0
2015-11-06,2015-11-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SAN ANTONIO TX (MOC) - 00K3,ULSD,2319,-1,16235,3,0,3,0,0,-1,0,-1,7500,0,w3,0,0,7500,3479,-1,22729,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Above Trend,11/07 00:00:00 CST,-1,w2,0,2015-11-12 00:00:00,Contract,-1,Contract,2319,2319,-1,-1,16235,3479,-1,15229,0,-1,0,0,-1,0,7884776,-1,7884777,2015-11-06 22:07:09,2015-11-06 00:00:00,2015-11-06 22:07:09,Mansfield,-1,Mansfield,2319,-1,16235,3479,-1,22729,False,True,7500,True,15000,False,3479,-1,15229,-1,-1,-1,-1,0.0,0,16235,2319.0,69570.0,-1,0,0
2015-11-07,2015-11-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SAN ANTONIO TX (MOC) - 00K3,ULSD,2319,-1,16235,3,0,3,0,0,-1,0,-1,7500,0,w3,0,0,7500,3479,-1,22729,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,On Track,11/08 00:00:00 CST,-1,w2,0,2015-11-12 00:00:00,Contract,-1,Contract,2319,2319,-1,-1,16235,3479,-1,15229,0,-1,0,0,-1,0,7928274,-1,7928275,2015-11-07 22:09:30,2015-11-07 00:00:00,2015-11-07 22:09:30,Mansfield,-1,Mansfield,2319,-1,16235,3479,-1,22729,False,True,7500,True,15000,False,3479,-1,15229,-1,-1,-1,-1,0.0,0,16235,2319.0,69570.0,-1,0,0
2015-11-08,2015-11-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SAN ANTONIO TX (MOC) - 00K3,ULSD,2319,-1,16235,3,0,3,0,0,-1,0,-1,7500,0,w3,0,0,7500,3479,-1,22729,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,11/09 00:00:00 CST,-1,w2,0,2015-11-12 00:00:00,Contract,-1,Contract,2319,2319,-1,-1,16235,3479,-1,15229,0,-1,0,0,-1,0,7976180,-1,7976181,2015-11-08 22:05:08,2015-11-08 00:00:00,2015-11-08 22:05:08,Mansfield,-1,Mansfield,2319,-1,16235,3479,-1,22729,False,True,7500,True,15000,False,3479,-1,15229,-1,-1,-1,-1,0.0,0,16235,2319.0,69570.0,-1,0,0
2015-11-09,2015-11-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SAN ANTONIO TX (MOC) - 00K3,ULSD,2319,-1,16235,3,0,3,0,0,-1,0,-1,7500,0,w3,0,0,7500,3479,-1,22729,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,11/10 00:00:00 CST,-1,w2,0,2015-11-12 00:00:00,Contract,-1,Contract,2319,2319,-1,-1,16235,3479,-1,15229,0,-1,0,0,-1,0,8026193,-1,8026194,2015-11-09 22:00:27,2015-11-09 00:00:00,2015-11-09 22:00:27,Mansfield,-1,Mansfield,2319,-1,16235,3479,-1,22729,False,True,7500,True,15000,False,3479,-1,15229,-1,-1,-1,-1,0.0,0,16235,2319.0,69570.0,-1,0,0
2015-11-10,2015-11-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SAN ANTONIO TX (MOC) - 00K3,ULSD,2319,-1,16235,3,0,3,0,0,-1,0,-1,7500,0,w3,0,0,7500,3479,-1,22729,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,11/11 00:00:00 CST,-1,w2,0,2015-11-12 00:00:00,Contract,-1,Contract,2319,2319,-1,-1,16235,3479,-1,15229,0,-1,0,0,-1,0,8078826,-1,8078827,2015-11-10 23:25:03,2015-11-10 00:00:00,2015-11-10 23:25:03,Mansfield,-1,Mansfield,2319,-1,16235,3479,-1,22729,False,True,7500,True,15000,False,3479,-1,15229,-1,-1,-1,-1,0.0,0,16235,2319.0,69570.0,-1,0,0
