,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Weekly,next_refresh_date_Daily,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Weekly,execution_date_Daily,execution_date_Weekly,customer_name_Daily,customer_name_Weekly,base_gallons_Monthly,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Monthly,en_allocation_status_Monthly,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Monthly,next_refresh_date_Monthly,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Monthly,additional_gallons_allowed_Monthly,additional_gallons_remaining_Monthly,execution_date_Monthly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2016-01-01,2016-01-01 00:00:00,BP,Channel: 50 - Commercial,CURTIS BAY MD - BP (PLANT 0455),PREMIUM,-1,31053,1,0,3,6789,-1,6789,1,w1,-1,0,0,-1,34158,-1,Available,-1,100,110%,110,-1,-1,-1,w1,0,2016-01-06 00:00:00,-1,Contract,-1,-1,27875,-1,27369,-1,0,-1,0,-1,11386826,-1,2016-01-01 22:00:12,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,31053,-1,0,34158,True,True,0,0,0,0,-1,0,34158,-1,-1,-1,-1,-1,0,31053.0,4436.0,137516.0,-1,0,1
2016-01-02,2016-01-02 00:00:00,BP,Channel: 50 - Commercial,CURTIS BAY MD - BP (PLANT 0455),PREMIUM,-1,31053,0,-1,0,-1,-1,10789,0,w1,-1,0,10789,-1,34158,-1,Available,-1,100,110%,110,-1,-1,-1,w1,0,2016-01-06 00:00:00,-1,Contract,-1,-1,27875,-1,23369,-1,0,-1,0,-1,11438890,-1,2016-01-02 22:00:08,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,31053,-1,0,34158,False,False,0,0,0,0,-1,0,23369,-1,-1,-1,-1,-1,0,31053.0,4436.0,137516.0,-1,0,0
2016-01-03,2016-01-03 00:00:00,BP,Channel: 50 - Commercial,CURTIS BAY MD - BP (PLANT 0455),PREMIUM,-1,31053,0,-1,0,-1,-1,10789,0,w1,-1,0,10789,-1,34158,-1,Available,-1,100,110%,110,-1,-1,-1,w1,0,2016-01-06 00:00:00,-1,Contract,-1,-1,27875,-1,23369,-1,0,-1,0,-1,11491906,-1,2016-01-03 22:00:12,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,31053,-1,0,34158,False,False,0,0,0,0,-1,0,23369,-1,-1,-1,-1,-1,0,31053.0,4436.0,137516.0,-1,0,0
2016-01-04,2016-01-04 00:00:00,BP,Channel: 50 - Commercial,CURTIS BAY MD - BP (PLANT 0455),PREMIUM,-1,31053,0,-1,0,-1,-1,16391,0,w1,-1,0,16391,-1,34158,-1,Available,-1,100,110%,110,-1,-1,-1,w1,0,2016-01-06 00:00:00,-1,Contract,-1,-1,27875,-1,17767,-1,0,-1,0,-1,11612300,-1,2016-01-04 22:05:35,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,31053,-1,0,34158,False,False,0,0,0,0,-1,0,17767,-1,-1,-1,-1,-1,0,31053.0,4436.0,137516.0,-1,0,0
2016-01-05,2016-01-05 00:00:00,BP,Channel: 50 - Commercial,CURTIS BAY MD - BP (PLANT 0455),PREMIUM,-1,31053,0,-1,0,-1,-1,18392,0,w1,-1,0,18392,-1,34158,-1,Available,-1,100,110%,110,-1,-1,-1,w1,0,2016-01-06 00:00:00,-1,Contract,-1,-1,27875,-1,15766,-1,0,-1,0,-1,11790603,-1,2016-01-05 22:05:01,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,31053,-1,0,34158,False,False,0,0,0,0,-1,0,15766,-1,-1,-1,-1,-1,0,31053.0,4436.0,137516.0,-1,0,0
2016-01-06,2016-01-06 00:00:00,BP,Channel: 50 - Commercial,CURTIS BAY MD - BP (PLANT 0455),PREMIUM,-1,27875,3,5992,1,5992,-1,5992,0,w2,-1,0,5992,-1,30663,-1,Available,-1,100,110%,110,-1,-1,-1,w2,0,2016-01-13 00:00:00,-1,Contract,-1,-1,27875,-1,24671,-1,0,-1,0,-1,11943530,-1,2016-01-06 22:10:25,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,27875,-1,0,30663,True,True,0,0,0,0,-1,0,24671,-1,-1,-1,-1,-1,0,27875.0,3982.0,123442.0,-1,0,0
2016-01-07,2016-01-07 00:00:00,BP,Channel: 50 - Commercial,CURTIS BAY MD - BP (PLANT 0455),PREMIUM,-1,27875,0,-1,0,-1,-1,8192,0,w2,-1,0,8192,-1,30663,-1,Available,-1,100,110%,110,-1,-1,-1,w2,0,2016-01-13 00:00:00,-1,Contract,-1,-1,27875,-1,22471,-1,0,-1,0,-1,12103748,-1,2016-01-07 22:05:20,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,27875,-1,0,30663,False,False,0,0,0,0,-1,0,22471,-1,-1,-1,-1,-1,0,27875.0,3982.0,123442.0,-1,0,0
2016-01-08,2016-01-08 00:00:00,BP,Channel: 50 - Commercial,CURTIS BAY MD - BP (PLANT 0455),PREMIUM,-1,27875,0,-1,0,-1,-1,14200,0,w2,-1,0,14200,-1,30663,-1,Available,-1,100,110%,110,-1,-1,-1,w2,0,2016-01-13 00:00:00,-1,Contract,-1,-1,27875,-1,16463,-1,0,-1,0,-1,12253466,-1,2016-01-08 22:04:58,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,27875,-1,0,30663,False,False,0,0,0,0,-1,0,16463,-1,-1,-1,-1,-1,0,27875.0,3982.0,123442.0,-1,0,0
2016-01-09,2016-01-09 00:00:00,BP,Channel: 50 - Commercial,CURTIS BAY MD - BP (PLANT 0455),PREMIUM,-1,27875,0,-1,0,-1,-1,17101,0,w2,-1,0,17101,-1,30663,-1,Available,-1,100,110%,110,-1,-1,-1,w2,0,2016-01-13 00:00:00,-1,Contract,-1,-1,27875,-1,13562,-1,0,-1,0,-1,12410465,-1,2016-01-09 22:05:36,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,27875,-1,0,30663,False,False,0,0,0,0,-1,0,13562,-1,-1,-1,-1,-1,0,27875.0,3982.0,123442.0,-1,0,0
2016-01-10,2016-01-10 00:00:00,BP,Channel: 50 - Commercial,CURTIS BAY MD - BP (PLANT 0455),PREMIUM,-1,27875,0,-1,0,-1,-1,19119,0,w2,-1,0,19119,-1,30663,-1,Available,-1,100,110%,110,-1,-1,-1,w2,0,2016-01-13 00:00:00,-1,Contract,-1,-1,27875,-1,11544,-1,0,-1,0,-1,12566468,-1,2016-01-10 23:44:59,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,27875,-1,0,30663,False,False,0,0,0,0,-1,0,11544,-1,-1,-1,-1,-1,0,27875.0,3982.0,123442.0,-1,0,0
